Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
Acer Chromebook Tab 10,No,"9.7 inches, 291.4 cm2 (~71.0% screen-to-body ratio)",Chrome OS,Rockchip RK3399,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),"microSD, up to 128 GB",32GB 4GB RAM,5 MP,2 MP,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",Accelerometer,Non-removable Li-Po 4500 mAh battery (34 Wh)
Acer Iconia Talk S,Dual SIM (Micro-SIM/Nano-SIM),"7.0 inches, 135.1 cm2 (~69.8% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM","13 MP, AF",2 MP,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Accelerometer, proximity",Non-removable Li-Ion 3400 mAh battery (12.92 Wh)
Acer Liquid Z6 Plus,"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,"13 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (front-mounted), accelerometer, proximity",Non-removable Li-Po 4080 mAh battery
Acer Liquid Z6,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,"microSD, up to 256 GB",8GB 1GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2000 mAh battery
Acer Iconia Tab 10 A3-A40,No,"10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,2 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",Accelerometer,Non-removable Li-Ion 6100 mAh battery
Acer Liquid X2,Triple SIM (Micro-SIM),"5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)",32GB 3GB RAM,"13 MP, f/1.8, AF","13 MP, f/1.8, AF","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, proximity, compass",Removable Li-Po 4020 mAh battery
Acer Liquid Jade 2,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),"microSD, up to 256 GB",32GB 3GB RAM,"21 MP, AF",8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery
Acer Liquid Zest Plus,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSD (dedicated slot),16GB 2GB RAM,"13 MP, PDAF, Laser AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Non-removable Li-Ion 5000 mAh battery
Acer Liquid Zest,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,"8 MP, f/2.0, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery
Acer Predator 8,No,"8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)",Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,"microSD, up to 256 GB (dedicated slot)","32GB 2GB RAM, 64GB 2GB RAM",5 MP,2 MP,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",Yes,Non-removable Li-Po 4420 mAh battery
Acer Liquid Jade Primo,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,"21 MP, f/2.2, AF","8 MP, f/2.2","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2870 mAh battery
Acer Liquid Z330,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,microSD (dedicated slot),8GB 1GB RAM,"5 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2000 mAh battery
Acer Liquid Z320,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,microSD (dedicated slot),8GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Po 2000 mAh battery
Acer Liquid Z630S,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSD (dedicated slot),32GB 3GB RAM,"8 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Removable Li-Po 4000 mAh battery (15.2 Wh)
Acer Liquid Z630,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSD (dedicated slot),"8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 4000 mAh battery
Acer Liquid Z530S,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSD (dedicated slot),32GB 3GB RAM,"8 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2420 mAh battery
Acer Liquid Z530,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSD (dedicated slot),"8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2420 mAh battery
Acer Liquid M330,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,microSD (dedicated slot),8GB 1GB RAM,"5 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2000 mAh battery
Acer Liquid M320,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,microSD (dedicated slot),8GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Ion 2000 mAh battery
Acer Iconia Tab 10 A3-A30,No,"10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)",Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,"microSD, up to 256 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,2 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",Accelerometer,Non-removable Li-Ion 5910 mAh battery (22 Wh)
Acer Iconia One 8 B1-820,No,"8.0 inches, 185.6 cm2 (~67.9% screen-to-body ratio)",Android 5.0 (Lollipop),Intel Atom Z3735G,Quad-core 1.33 GHz,"microSD, up to 32 GB (dedicated slot)","16GB 1GB RAM, 32GB 1GB RAM",5 MP,VGA,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Accelerometer,Non-removable Li-Ion 4550 mAh battery (17.2 Wh)
Acer Iconia Tab A3-A20,No,"10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",16GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY)
Acer Iconia Tab A3-A20FHD,No,"10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.5 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",32GB 2GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX)
Acer Liquid Jade Z,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)",Android 5.0 (Lollipop),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 32 GB (uses shared SIM slot)","8GB 1GB RAM (Jade Z), 16GB 2GB RAM (Jade Z+)","13 MP, f/1.8, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2300 mAh battery
Acer Liquid Z520,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 75.7 cm2 (~57.1% screen-to-body ratio)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8GB 1GB RAM, 16GB 2GB RAM","8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Po 2000 mAh battery
Acer Liquid Z220,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)",Android 5.0 (Lollipop),Qualcomm Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Removable Li-Ion 1300 mAh battery
